Time(%),Time,Calls,Avg,Min,Max,Name
42.80%,193.19ms,150,1.2880ms,1.1816ms,1.6811ms,black_sor_reordered
42.54%,192.03ms,150,1.2802ms,1.1689ms,1.6763ms,red_sor_reordered
